sp	activity	reference
Garcinia cambogia (Gaertn.) Desr.	Anorectic(食思減退薬、食欲抑制薬);Antilipolytic(抗脂肪分解);Antiobesity(肥満);Antiseptic(防腐剤);ATP-citrate lyase inhibitor(ATPのクエン酸リアーゼ阻害剤);Hypocholesterolemic(低コレステロール血);Hypotriglyceridemic(低トリグリセリド);Laxative(下剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Glechoma hederacea L.	Alexeteric(解毒作用);Alterative(体質改善剤);Analgesic(鎮痛剤);Antidote (lead)(解毒剤、鉛);Antiedemic(抗浮腫性);Antiinflammatory(抗炎症);Antipyretic(解熱薬);Antiscorbutic(抗壊血病);Antiulcerogenic(抗潰瘍);Astringent(収斂性);Cardiotonic(強心剤);Collyrium(洗眼液);Depurative(浄化作用);Diaphoretic(発汗剤);Diuretic(利尿薬);Expectorant(去痰薬);Poison(毒);Stimulant(興奮薬);Stomachic(健胃薬);Tonic(強壮剤);Vermicide(駆虫剤);Vulnerary(傷薬、外傷にきく)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Gleditsia triacanthos L.	Analgesic(鎮痛剤);Antidote(解毒剤);Antitussive(鎮咳薬);Cytotoxic(細胞毒性);Depurative(浄化作用);Mydriatic(散瞳薬);Narcotic(麻薬);Oxytocic(子宮収縮剤);Poison(毒);Tonic(強壮剤);Vasodilator(血管拡張神経、血管拡張薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Fraxinus ornus L.	Aperient(緩下剤);Astringent(収斂性);Demulcent(皮膚の炎症または傷を沈静化する（油脂や軟膏等の形態の）薬物);Expectorant(去痰薬);Laxative(下剤);Tonic(強壮剤);Vermicide(駆虫剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
from Ananas comosus (L.) Merr.	Antiaggregant(抗血小板剤);Antibacterial(抗菌);Antiedemic(抗浮腫性);Antiinflammatory(抗炎症);Antitumor(抗腫瘍);Digestive(消化器);Fibrinolytic(線維素溶解性);Proteolytic(蛋白質分解性)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Fucus vesiculosus L.	Alterative(体質改善剤);Antiaggregant(抗血小板剤);Antihypothyroid(抗甲状腺機能低下);Antiobesity(肥満);Antirheumatic(抗リウマチ剤);Antiseptic(防腐剤);Demulcent(皮膚の炎症または傷を沈静化する（油脂や軟膏等の形態の）薬物);Depurative(浄化作用);Emollient(緩和剤);Hemagglutinant;Hypoglycemic(低血糖);Immunomodulator(免疫修飾因子);Laxative(下剤);Metal-Chelator(金属キレート剤);Tonic(強壮剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Fumaria officinalis L.	Amphicholeretic;Anesthetic(麻酔薬);Antiarrhythmic(不整脈治療剤);Anticholinergic(抗コリン作用薬);Antihistaminic(抗ヒスタミン薬);Antiinflammatory(抗炎症);Antilithic(抗結石);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Aphrodisiac(媚薬);Bradycardiac(徐脈);Cholagogue(胆汁分泌促進薬);Cholekinetic(利胆薬);Depurative(浄化作用);Diaphoretic(発汗剤);Diuretic(利尿薬);Emetic(催吐薬);Hypertensive(高血圧);Hypotensive(低血圧);Laxative(下剤);Litholytic(結石溶解);Poison(毒);Sedative(鎮静剤);Stomachic(健胃薬);Tonic(強壮剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Galanthus nivalis L.	Analeptic(気付け薬);Anticholinesterase(抗コリンエステラーゼ);Anticurare(抗クラーレ、クラーレ（植物）による筋肉麻痺);Antiglaucomic(抗緑内障性);Antiherpetic(抗ヘルペス);Antileukemic(抗白血病);Antitumor(抗腫瘍);Antiviral(抗ウイルス薬);Bradycardiac(徐脈);Cardiotonic(強心剤);Cholinergic(コリン作動性);Digestive(消化器);Emetic(催吐薬);Emmenagogue(通経薬);Insecticide(殺虫剤);Memorigenic;Negative chronotropic(陰性変時);Positive Inotropic(陽性変力作用);Sialagogue(唾液分泌促進薬);Toxic(毒性)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Galega offininalis L.	Alterative(体質改善剤);Antiaggregant(抗血小板剤);Antidiabetic(抗糖尿病薬);Depurative(浄化作用);Diaphoretic(発汗剤);Diuretic(利尿薬);Hepatoprotective(肝保護);Hypoglycemic(低血糖);Lactagogue(乳汁分泌促進物質、催乳物質、催乳薬);Sedative(鎮静剤);Vermicide(駆虫剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Galeopsis sp.	Antiulcerogenic(抗潰瘍);Astringent(収斂性);Diuretic(利尿薬);Expectorant(去痰薬);Hematogenic(造血)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Galium aparine L.	Alterative(体質改善剤);Antibacterial(抗菌);Antidyscratic(抗リウマチ);Antiinflammatory(抗炎症);Antipyretic(解熱薬);Antispasmodic(鎮痙薬);Aperient(緩下剤);Astringent(収斂性);Demulcent(皮膚の炎症または傷を沈静化する（油脂や軟膏等の形態の）薬物);Depurative(浄化作用);Diaphoretic(発汗剤);Diuretic(利尿薬);Emetic(催吐薬);Emmenagogue(通経薬);Hemostat(止血剤);Hypotensive(低血圧);Immunostimulant(免疫賦活剤);Larvicide(幼虫駆除剤);Laxative(下剤);Litholytic(結石溶解);Lymph Tonic(リンパトニック);Poison(毒);Tonic(強壮剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Eryngium foetidum L.	Abortifacient(堕胎薬);Analgesic(鎮痛剤);Anemia(貧血);Anorexia(食欲不振);Antemetic(悪心[嘔吐]抑止の);Antibacterial(抗菌);Anticonvulsant(抗けいれん薬、抗痙攣薬);Antiedemic(抗浮腫性);Antiinflammatory(抗炎症);Antiplasmodial(抗変形菌);Antipyretic(解熱薬);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Antiviral(抗ウイルス薬);Aperitif(食前酒);Aphrodisiac(媚薬);Arthorosis(関節症);Asthma(喘息);Bactericide(殺菌剤);Biliousness(胆汁性、短気);Bronchosis(気管支炎);Cardiopathy(心疾患);Carminative(駆風薬);Catarrh(カタル);Chill(冷え);Cold(感冒);Colic(疝痛);Constipation(便秘);Convulsant(けいれんを起こす);Cough(咳);Debility(衰弱);Diabetes(糖尿病);Diaphoretic(発汗剤);Diarrhea(下痢);Digestive(消化器);Diuretic(利尿薬);Dyspepsia(消化不良、胃弱);Earache(耳痛);Edema(水しゅ、浮腫);Emmenagogue(通経薬);Epilepsy(癲癇);Expectorant(去痰薬);Febrifuge(解熱剤);Fever(発熱);Fits(発作);Flu(インフルエンザ);Fungicide(殺菌剤、防カビ剤);Hemostat(止血剤);Herbicide(除草剤);High blood pressure(高血圧);High cholesterol(高コレステロール);Hypoglycemic(低血糖);Hypotensive(低血圧);Inflammation(炎症);Insomnia(不眠症);Laxative(下剤);Malaria(マラリア);Nausea(吐き気);Obesity(肥満);Orexigenic(食欲刺激[促進]物質);Pectoral(胸筋);Plasmodicide(抗マラリア薬);Pneumonia(肺炎);Rheumatism(リウマチ);Snakebite(ヘビ傷);Stimulant(興奮薬);Stomachache(胃痛、腹痛);Stomachic(健胃薬);Sudorific(発汗促進);Swelling(膨潤);Syncope(失神);Tranquilizer(精神安定剤);Tumor(腫瘍);Vermicide(駆虫剤);Vulnerary(傷薬、外傷にきく);Water Retention(水保持);Yellow fever(黄熱)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008);James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002);James A Duke with Mary Jo Bogenschutz-Godwin,Judi duCellier,Peggy-Ann K.Duke(Illustrator),CRC HANDBOOK OF Medicinal Spices,CRC PRESS(2002)
Galium odoratum (L.) Scop.	Antiaggregant(抗血小板剤);Antibacterial(抗菌);Antiedemic(抗浮腫性);Antiinflammatory(抗炎症);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Anxiolytic(抗不安薬);Aperient(緩下剤);Aphrodisiac(媚薬);Astringent(収斂性);Bitter(苦味);Deobstruent(閉塞物の排除);Depurative(浄化作用);Diaphoretic(発汗剤);Digestive(消化器);Diuretic(利尿薬);Expectorant(去痰薬);Hepatotonic;Hepatotoxic(肝毒性);Hypnotic(睡眠薬);Insecticide(殺虫剤);Lymphokinetic;Sedative(鎮静剤);Sialagogue(唾液分泌促進薬);Stomachic(健胃薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Galium verum L.	Alterative(体質改善剤);Antispasmodic(鎮痙薬);Aphrodisiac(媚薬);Astringent(収斂性);Bitter(苦味);Diuretic(利尿薬);Hypotensive(低血圧)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Gallesia integrifolia (Spreng.) Harms.	Analgesic(鎮痛剤);Angiotensin II antagonist in peroxysomal atrial fibrillation;Anticonvulsant(抗けいれん薬、抗痙攣薬);Antidepressant(抗鬱剤);Antihistaminic(抗ヒスタミン薬);Antileishmanic(抗レーシュマニア);Antileukotriene(抗ロイコトリエン);Antiplasmodial(抗変形菌);Antispasmodic(鎮痙薬);Anxiolytic(抗不安薬);CNS-depressant(中枢神経系抑制剤);Emollient(緩和剤);Insecticide(殺虫剤);Myorelaxant(筋肉弛緩薬);Poison(毒);Protisticide(原生生物駆除剤);Sedative(鎮静剤);Tranquilizer(精神安定剤);Trypanosomicide(抗トリパノソーマ薬);Vasorelaxant(血管平滑筋弛緩)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Ganoderma lucidum	Adaptogen(適応促進薬、アダプトゲン);Analgesic(鎮痛剤);Antiaggregant(抗血小板剤);Antiaging(アンチエイジング);Antiallergic(抗アレルギー);Antibacterial(抗菌);Anticonvulsant(抗けいれん薬、抗痙攣薬);Antihistaminic(抗ヒスタミン薬);Antiinflammatory(抗炎症);Antioxidant(酸化防止剤);Antitumor(抗腫瘍);Antiviral(抗ウイルス薬);Cytotoxic(細胞毒性);Expectorant(去痰薬);Hepatoprotective(肝保護);Hypertensive(高血圧);Hypoglycemic(低血糖);Hypotensive(低血圧);Hypotriglyceridemic(低トリグリセリド);Immunostimulant(免疫賦活剤);Myorelaxant(筋肉弛緩薬);Radioprotective(放射線防護);Sedative(鎮静剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Ferula sumbul (Kauffm.) Hook.	Antispasmodic(鎮痙薬);Aperitif(食前酒);Emmenagogue(通経薬);Mucostimulant(粘膜刺激);Narcotic(麻薬);Nervine(神経鎮静薬);Panacea(万能薬);Sedative(鎮静剤);Stimulant(興奮薬);Tonic(強壮剤);Tranquilizer(精神安定剤);Uterotonic(子宮収縮薬);Vermicide(駆虫剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Fevillea cordifolia L.	Antidote(解毒剤);Antidote (hippomane)(解毒剤、ヒッポマネ属);Purgative(下剤);Soap(石鹸);Toxic(毒性)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Ficus carica L.	Alexeteric(解毒作用);Allergenic(アレルギー生成);Anticancer(抗ガン);Antileukemic(抗白血病);Antilymphocytic(抗リンパ球);Antisarcomic;Antiseptic(防腐剤);Antitumor, breast(抗腫瘍、乳房);Antitumor, prostate(抗腫瘍、前立腺);Aperient(緩下剤);Aphrodisiac(媚薬);Ascaricide(殺回虫剤);Catabolic(異化作用);Demulcent(皮膚の炎症または傷を沈静化する（油脂や軟膏等の形態の）薬物);Deodorant(消臭);Digestive(消化器);Diuretic(利尿薬);Emollient(緩和剤);Expectorant(去痰薬);Hypoglycemic(低血糖);Lactagogue(乳汁分泌促進物質、催乳物質、催乳薬);Laxative(下剤);Litholytic(結石溶解);Pectoral(胸筋);Phototoxic(光毒性);Proteolytic(蛋白質分解性);Restorative(強壮薬);Stomachic(健胃薬);Tonic(強壮剤);Vermicide(駆虫剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Ficus insipida Willd.	Antiinflammatory(抗炎症);Antiseptic(防腐剤);Antitumor(抗腫瘍);Aphrodisiac(媚薬);Artemicide;Caustic(腐食剤);Cicatrizant(瘢痕形成薬);Laxative(下剤);Memorigenic;Parasiticide(虫下し、駆虫薬);Proteolytic(蛋白質分解性);Purgative(下剤);Stimulant(興奮薬);Tonic(強壮剤);Toxic(毒性);Vermicide(駆虫剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Filipendula ulmaria (L.) Maxim.	Analgesic(鎮痛剤);Antacid(制酸薬);Antiaggregant(抗血小板剤);Antibacterial(抗菌);Anticapillary Fragility(抗毛細血管脆弱性);Anticarcinogenic(抗発ガン性);Anticomplement(抗補体);Antiinflammatory(抗炎症);Antipyretic(解熱薬);Antirheumatic(抗リウマチ剤);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Antithrombic(抗血栓症);Antitumor(抗腫瘍);Antiulcerogenic(抗潰瘍);Astringent(収斂性);Bronchospasm(気管支けいれん、気管支痙攣);Deodorant(消臭);Depressant(抑制薬);Depurative(浄化作用);Diaphoretic(発汗剤);Diuretic(利尿薬);Elastase inhibitor(エラスターゼ阻害剤);Enterotonic(腸強壮剤);Fibrinolytic(線維素溶解性);Hemostat(止血剤);Immunomodulator(免疫修飾因子);Mucoprotective(粘膜保護);Myorelaxant(筋肉弛緩薬);Sedative(鎮静剤);Stomachic(健胃薬);Tonic(強壮剤);Uricosuric(尿酸排せつ);Urinary antiseptic(尿路消毒薬);Uterotonic(子宮収縮薬);Vulnerary(傷薬、外傷にきく)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Foeniculum vulgare Mill.	Abortifacient(堕胎薬);Alexeteric(解毒作用);Analgesic(鎮痛剤);Anorectic(食思減退薬、食欲抑制薬);Antiandrogenic(抗アンドロゲン);Antibacterial(抗菌);Antidopamine(抗ドーパミン);Antidote(解毒剤);Antiedemic(抗浮腫性);Antifertility(避妊);Antiinflammatory(抗炎症);Antileukemic(抗白血病);Antioxidant(酸化防止剤);Antipyretic(解熱薬);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Antitussive(鎮咳薬);Antiviral(抗ウイルス薬);Antiwrinkle(抗しわ);Aperitif(食前酒);Aphrodisiac(媚薬);Bitter(苦味);Cardiotonic(強心剤);Carminative(駆風薬);Cholagogue(胆汁分泌促進薬);Cholinomimetic(コリン作用薬);Collyrium(洗眼液);Cytotoxic(細胞毒性);Diaphoretic(発汗剤);Digestive(消化器);Diuretic(利尿薬);Emmenagogue(通経薬);Estrogenic(エストロゲン);Eupeptic(消化補助);Expectorant(去痰薬);Fungicide(殺菌剤、防カビ剤);Gastrostimulant(胃刺激物);Hepatoregenerative(肝再生);Lactagogue(乳汁分泌促進物質、催乳物質、催乳薬);Laxative(下剤);Mastogenic(乳生成);Mucogenic(粘液生成);Mutagenic(変異原性);Mycolytic(糸状菌溶解性);Myorelaxant(筋肉弛緩薬);Myostimulant(筋肉刺激薬);Narcotic(麻薬);Pectoral(胸筋);Secretolytic;Stimulant(興奮薬);Stomachic(健胃薬);Tonic(強壮剤);Vagina protective(膣保護);Vermicide(駆虫剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Forsythia suspensa (Thunb.) Vahl	Analgesic(鎮痛剤);Antibacterial(抗菌);Antiinflammatory(抗炎症);Antiitch(かゆみ止め);Antinauseant(制吐性);Antioxidant(酸化防止剤);Antipyretic(解熱薬);Antiseptic(防腐剤);Antitussive(鎮咳薬);Antiviral(抗ウイルス薬);Bitter(苦味);Cardiotonic(強心剤);Diuretic(利尿薬);Emmenagogue(通経薬);Hepatoprotective(肝保護);Hypotensive(低血圧);Laxative(下剤);Tonic(強壮剤);Uterotonic(子宮収縮薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Fragaria vesca L.	Alterative(体質改善剤);Antinitrosaminic(抗ニトロソアミン);Antioxidant(酸化防止剤);Antipyretic(解熱薬);Antiseptic(防腐剤);Antitumor(抗腫瘍);Aphrodisiac(媚薬);Astringent(収斂性);Catabolic(異化作用);Depurative(浄化作用);Discutient(散らし薬);Diuretic(利尿薬);Laxative(下剤);Nervine(神経鎮静薬);Tonic(強壮剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Fragaria virginiana Mill.	Abortifacient(堕胎薬);Analgesic(鎮痛剤);Antiinflammatory(抗炎症);Antiseptic(防腐剤);Antiulcerogenic(抗潰瘍);Astringent(収斂性);Deobstruent(閉塞物の排除);Deodorant(消臭);Depurative(浄化作用);Digestive(消化器);Diuretic(利尿薬);Hemostat(止血剤);Neurotonic(神経賦活性);Tonic(強壮剤);Urinary antiseptic(尿路消毒薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Frangula alnus Mill.	Allergenic(アレルギー生成);Antiangiogenic(抗血管新生);Anticancer(抗ガン);Antiherpetic(抗ヘルペス);Antiviral(抗ウイルス薬);Aperient(緩下剤);Cholagogue(胆汁分泌促進薬);Cytotoxic(細胞毒性);Depurative(浄化作用);Emetic(催吐薬);Emmenagogue(通経薬);Fungicide(殺菌剤、防カビ剤);Hydragogue(駆水薬);Laxative(下剤);Peristaltic(蠕動性);Poison(毒);Sunscreen(日焼け止め);Tonic(強壮剤);Vermicide(駆虫剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Frangula purshiana (DC.) J.G. Cooper	Antibacterial(抗菌);Antiherpetic(抗ヘルペス);Antileukemic(抗白血病);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Antiviral(抗ウイルス薬);Bitter(苦味);Depurative(浄化作用);Diuretic(利尿薬);Emetic(催吐薬);Fungicide(殺菌剤、防カビ剤);Hepatotonic;Hydragogue(駆水薬);Laxative(下剤);Peristaltic(蠕動性);Poison(毒);Prostaglandigenic;Sunscreen(日焼け止め);Tonic(強壮剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Fraxinus excelsior L.	Analgesic(鎮痛剤);Antibacterial(抗菌);Antiinflammatory(抗炎症);Antioxidant(酸化防止剤);Antipyretic(解熱薬);cAMP-Phosphodiesterase inhibitor(cAMP-ホスホジエステラーゼ阻害剤);Diphoretic;Diuretic(利尿薬);Hypouricemic(低尿酸血症);Immunostimulant(免疫賦活剤);Laxative(下剤);Phagocytotic(食作用);Tonic(強壮剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Fraxinus nigra Marshall	Analgesic(鎮痛剤);Gastrotonic(胃強壮薬);Hepatotonic;Laxative(下剤);Tonic(強壮剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Eupatorium perfoliatum L.	Antibacterial(抗菌);Antiinflammatory(抗炎症);Antiperiodic(周期病薬);Antipyretic(解熱薬);Antispasmodic(鎮痙薬);Antitumor(抗腫瘍);Antitussive(鎮咳薬);Antiviral(抗ウイルス薬);Aperient(緩下剤);Astringent(収斂性);Bitter(苦味);Cholagogue(胆汁分泌促進薬);Cytotoxic(細胞毒性);Diaphoretic(発汗剤);Diuretic(利尿薬);Emetic(催吐薬);Expectorant(去痰薬);Hemostat(止血剤);Hepatoprotective(肝保護);Immunostimulant(免疫賦活剤);Laxative(下剤);Nervine(神経鎮静薬);Peristaltic(蠕動性);Phagocytotic(食作用);Stimulant(興奮薬);Tonic(強壮剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Eupatorium purpureum L.	Antidote(解毒剤);Antilithic(抗結石);Antirheumatic(抗リウマチ剤);Depurative(浄化作用);Diaphoretic(発汗剤);Diuretic(利尿薬);Hypoglycemic(低血糖);Laxative(下剤);Stimulant(興奮薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Euphorbia cotinifolia L.	Antiherpetic(抗ヘルペス);Antiviral(抗ウイルス薬);Atticide;Cathartic(下剤);Caustic(腐食剤);Contraceptive(避妊薬);Curare(クラーレ);Cytotoxic(細胞毒性);Emetic(催吐薬);Insecticide(殺虫剤);Molluscicide(軟体動物駆除剤);Piscicide(殺魚剤);Poison(毒);Purgative(下剤);Vesicant(発疱薬)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Euphorbia cyparissias L.	Allergenic(アレルギー生成);Carcinogenic(発ガン性);Diuretic(利尿薬);Immunostimulant(免疫賦活剤);Irritant(刺激物);Laxative(下剤);Toxic(毒性)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Euphorbia lathyris L.	Antiseptic(防腐剤);Antitumor(抗腫瘍);Carcinogenic(発ガン性);Depilatory(脱毛剤);Diuretic(利尿薬);Emetic(催吐薬);Laxative(下剤);Poison(毒);Priapistic;Vesicant(発疱薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Euphorbia pulcherrima Willd. Ex Klotzsch	Analgesic(鎮痛剤);Antibacterial(抗菌);Antifeedant(摂食阻害剤);Antitumor(抗腫瘍);Bactericide(殺菌剤);Cytotoxic(細胞毒性);Depilatory(脱毛剤);Emetic(催吐薬);Lactagogue(乳汁分泌促進物質、催乳物質、催乳薬);Molluscicide(軟体動物駆除剤);Piscicide(殺魚剤);Poison(毒);Toxic(毒性)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008);James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Euphorbia resinifera O. Berg & C.F. Schmidt	Abortifacient(堕胎薬);Carcinogenic(発ガン性);Emetic(催吐薬);Immunostimulant(免疫賦活剤);Irritant(刺激物);Laxative(下剤);Rubefacient(発赤剤);Sialagogue(唾液分泌促進薬);Toxic(毒性);Vesicant(発疱薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Euphorbia tirucallis L.	Allergenic(アレルギー生成);Antiseptic(防腐剤);Antitumor(抗腫瘍);Avicide(殺鳥剤);Carcinogen(発ガン物質);Emetic(催吐薬);Insecticide(殺虫剤);Laxative(下剤);Piscicide(殺魚剤);Poison(毒);Rubefacient(発赤剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Euphrasia spp.	Alterative(体質改善剤);Antibacterial(抗菌);Antiinflammatory(抗炎症);Antiseptic(防腐剤);Astringent(収斂性);Collyrium(洗眼液);Hepatotonic;Laxative(下剤);Mucolytic(粘液溶解薬);Tonic(強壮剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Euterpe edulis Mart.	Carminative(駆風薬);Cicatrizant(瘢痕形成薬);Hemostat(止血剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Euterpe oleracea Mart.	Antidiabetic(抗糖尿病薬);Antileukemic(抗白血病);Antioxidant(酸化防止剤);Antitumor(抗腫瘍);Apoptotic(アポトーシス);Cicatrizant(瘢痕形成薬);Depurative(浄化作用);Febrifuge(解熱剤);Insulinogenic(インスリン生成);Lipolytic(脂肪分解);Secretagogue(分泌促進物質、分泌促進剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Euterpe precatoria Mart.	Anticomplement(抗補体);Antiinflammatory(抗炎症);Antiplasmodial(抗変形菌);Immunomodulator(免疫修飾因子)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Evolvulus alsinoides (L.) L.	Adaptogenic(強壮効果);Alexeteric(解毒作用);Alterative(体質改善剤);Anthelminthic(駆虫薬、虫下し);Antiamnesic(抗健忘);Antiarthritic(抗関節炎薬);Anticatatonic(抗緊張型統合失調症);Antidementic;Antiedemic(抗浮腫性);Antiinflammatory(抗炎症);Antioxidant(酸化防止剤);Antiulcerogenic(抗潰瘍);Aphrodisiac(媚薬);Astringent(収斂性);Bitter(苦味);Cardiodepressant(心抑制);Cerebrotonic(頭脳型);CNS-depressant(中枢神経系抑制剤);Febrifuge(解熱剤);Gastroprotective(胃保護剤);Hemostat(止血剤);Immunomodulator(免疫修飾因子);Memorigenic;Neuroprotective(神経保護);Nootropic(向知性);Orexigenic(食欲刺激[促進]物質);Propecic;Tonic(強壮剤);Vermicide(駆虫剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Fagopyrum esculentum Moench	Antiatherosclerotic(抗アテローム硬化性);Anticapillary Fragility(抗毛細血管脆弱性);Antiedemic(抗浮腫性);Emollient(緩和剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Fagus grandifolia Ehrh.	Abortifacient(堕胎薬);Antiseptic(防腐剤);Depurative(浄化作用);Tonic(強壮剤);Vermicide(駆虫剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Fallopia japonica (Houtt.) Ronse Decr.	Antiaggregant(抗血小板剤);Antialzheimeran(抗アルツハイマー);Antiarthritic(抗関節炎薬);Antibacterial(抗菌);Anticancer(抗ガン);Antihistaminic(抗ヒスタミン薬);Antiinflammatory(抗炎症);Antioxidant(酸化防止剤);Antitussive(鎮咳薬);Antiviral(抗ウイルス薬);Cyclooxygenase COX-2 inhibitor(シクロオキシゲナーゼ-2-阻害剤);Diuretic(利尿薬);Emmenagogue(通経薬);Glutathionigenic;Gonadotropic(性腺刺激);Hepatoprotective(肝保護);Hypotensive(低血圧);Hypotriglyceridemic(低トリグリセリド);Lipolytic(脂肪分解);Protein tyrosine kinase inhibitor(タンパク質チロシンキナーゼ阻害剤);Stomachic(健胃薬);Vasodilator(血管拡張神経、血管拡張薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Faramea occidentalis (L.) A. Rich	Antiseptic(防腐剤);Hemostat(止血剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
