activity	activity_j
Snake repellent	ヘビ駆除剤
Snakebite	ヘビ傷
Sniffle	鼻かぜ
Soap	石鹸
Soporific	催眠剤
Sore	潰瘍
Sore Throat	咽喉炎
Sore throat splenomegaly	-
Spamogenic	-
Sparmatogenic	-
Spasm	痙攣
Spasmogenic	収縮刺激性
Spermatogenic	精子形成
Spermatorrhea	精液漏
Spermicide	殺精子剤
Spinodepressant	脊髄抑制剤
Spinostimulant	脊髄刺激薬
Splenomegaly	巨脾症
Splenosis	脾症
Splenotonic	-
Sporicide	殺胞子剤
Sprain	捻挫
Sprue	スプルー
Staminagenic	-
Steatorrhea	脂肪便
Sterilant	滅菌剤
Sternutator	くしゃみ誘発剤
Sternutatory	くしゃみ誘発性
Steroid precursor	ステロイド前駆体
Steroid-precursor starter material progesterone, testosterone, and other steroids	ステロイド前駆体スターター材料プロゲステロン、テストステロン、およびその他のステロイド
Stimulant	興奮薬
Sting	虫さされ
Stomach distress	胃疲労
Stomachache	胃痛、腹痛
Stomachic	健胃薬
Stomatosis	口腔病、口腔症
Strangury	有痛排尿困難
Stress	ストレス
Stroke	卒中
Stupefacient	麻痺
Styptic	収れん剤
Succinate dehydrogenase inhibitor	コハク酸塩脱水素酵素阻害剤
Succinate oxygenase inhibitor	コハク酸塩オキシゲナーゼ阻害剤
Sucrase promoter	スクラーゼ-プロモーター
Sudorific	発汗促進
Sunburn	日焼け
Sunscreen	日焼け止め
Sunstroke	日射病
Suppurative	化膿性
Sweetener	甘味料
Swelling	膨潤
Symapathomimetic	交感神経様
Sympathicolytic	交感神経遮断
Sympathicomimetic	交感神経
Sympathomimetic	交感神経様
Symphathicolytic	-
Syncope	失神
Syndrome X	-
Synergist	協力筋
Syphilis	梅毒
Tachycardia	頻脈、心悸高進
Tachycardic	頻脈
Taeniacide	サナダムシ駆除薬、条虫駆除剤
Teething	乳歯発生
Telepathic	精神感応、テレパシー
Tendinitis	腱炎
Tenesmus	しぶりはら、しぶり
Tennis elbow	テニス肘
Tension	緊張
Teratogen	催奇形物質
Teratogenic	催奇形性
Teratologic	奇形
Termiticide	シロアリ駆除薬
Testicular atrophy	精巣萎縮
Testosterogenic	-
Testosteronigenic	-
Tetanus	破傷風
Thermogenic	発熱性
Thirst	口渇
Thrombocytosis	血小板増加症
Thrombogenic	血栓を作る
Thrombolytic	血栓溶解
Thrombopietic	血小板新生
Thrombosis	血栓症
Thromboxane synthetase inhibitor	トロンボキサン合成酵素阻害剤
Thumb sucking	親指のおしゃぶり
Thymoleptic	感情抑制薬
Thymolytic	胸腺融解性
Thymoprotective	胸腺保護薬
Thymostimulant	胸腺刺激薬
Thyroid	甲状腺製剤
Thyroregulator	甲状制御因子
Thyrosis	ベンチ腫
Thyrotropic	甲状腺刺激
Tinea	輪癬、タムシ
Tineacide	殺タムシ剤
Tinnitus	耳鳴り
TNF inhibitor	TNF阻害剤
TNF-genic	-
TNFalpha inhibitor	TNFアルファ阻害剤
Tonic	強壮剤
Tonsilosis	-
Toothache	歯痛
Topoisomerase II inhibitor	トポイソメラーゼ-II-阻害剤
Topoisomerase inhibitor	トポイソメラーゼ阻害剤
Topoisomerase-II-inducer	トポイソメラーゼ-II誘導剤
Toxic	毒性
Toxin	毒素
Toxoplasmosis	トキソプラズマ症
Tracheorelaxant	-
Tracheosis	-
Trachoma	トラコーマ
Tranquilizer	精神安定剤
Transdermal	経皮
Trauma	トラウマ
Tremorigenic	振戦発現性
Trichinosis	旋毛虫症
Trichomonacide	抗トリコモナス剤
Trichomoniasis	トリコモナス症
Trypanosomic	トリパノソーマ症
Trypanosomicide	抗トリパノソーマ薬
Trypsin inhibitor	トリプシン阻害剤
Trypsin potentiator	トリプシン増強剤
Tuberculosis	結核
Tuberculostatic	抗結核薬
Tumor	腫瘍
Tumor promotor	腫瘍プロモーター
Tumorigenic	発ガン性
Twitching	攣縮、単収縮
Tylosis	胼胝症
Typhoid	腸チフス
Typhus	発疹チフス
Tyrosinase inhibitor	チロシナーゼ阻害剤
Tyrosine kinase Inhibitor	チロシンキナーゼ阻害剤
Ulcer	潰瘍
Ulcerogenic	潰瘍誘発
Ulcus cruris	下腿潰瘍
Unguent	軟膏
Urease inhibitor	ウレアーゼ阻害剤
Urethrosis	-
Uricolytic	尿酸分解
Uricosuric	尿酸排せつ
Urinary acidulant	-
Urinary antiseptic	尿路消毒薬
Urinary tonic	-
Urinary tract infections	尿路感染症
Urogenitosis	-
Urolithiasis	尿石症
Uteroactive	子宮活性
Uterocontractant	子宮コントラクタント
Uterolytic	子宮溶解薬
Uteroparalytic	子宮麻痺
Uterorelaxant	子宮弛緩薬
Uterorrhagia	子宮発疹
Uterosedative	子宮鎮静剤
Uterosis	-
Uterostimulant	子宮刺激薬
Uterotonic	子宮収縮薬
UV-Screen	紫外線スクリーン
Uveosis	-
Uvulosis	-
Vagina protective	膣保護
Vaginosis	膣症
Vagolytic	迷走神経抑制
Varicosis	静脈瘤症
Vascoconstrictor	血管収縮薬、血管収縮神経
vascular endothelial growth factor inhibitor	血管内皮細胞増殖因子阻害剤
Vasculostimulant	血管刺激薬
Vasoconstrictor	血管収縮薬
Vasoconstrictor(peripheral)	血管収縮（末梢）
Vasodepressant	血管抑制薬
Vasodilator	血管拡張神経、血管拡張薬
Vasomotor Stimulant	血管刺激
Vasopresssor	血管抑制
Vasoprotective	血管保護薬
Vasorelaxant	血管平滑筋弛緩
Vasotonic	血管緊張性
Venereal disease	性行為感染症
Venotonic	静脈治療薬
Vermicide	駆虫剤
Verrucolytic	-
Vertigo	めまい
Vesicant	発疱薬
Vibriocide	殺ビブリオ菌剤
Viral hepatosis	ウイルス性肝機能不全
Viricide	殺ウイルス剤
Virustat	-
Vitamin K antagonist	ビタミンK-拮抗薬
Vitiligo	白斑
Vomiting	嘔吐
Vulnerary	傷薬、外傷にきく
Wart	疣贅
Water Retention	水保持
Wen	表皮嚢胞
Whitlow	ひょう疽
Wound	創傷
Wrinkle	しわ
Xanthine oxidase inhibitor	キサンチン酸化酵素阻害剤
Xerostomia	口腔乾燥症
Yaws	イチゴ腫
Yellow fever	黄熱
Zinc chelator	亜鉛キレート剤
(1939 rows)
