cid	metabolite	category	function	targetsp	reference
C00002963	Mangostin;alpha-Mangostin	Anticancer	Cytotoxic, HL-60 leukemia cells		Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Suksamrarn, et al., Chem Pharm Bull, 54, (2006), 301.;Huang, et al., Journal of Natural Products, 64, (2001), 903.;Suksamrarn, et al., Chem Pharm Bull, 51, (2003), 857.;Deachathai, et al., Phytochemistry, 67, (2006), 464.;Mahabusarakam, et al., Phytochemistry, 67, (2006), 470.;Matsumoto, et al., Journal of Natural Products, 66, (2003), 1124.;Deachathai, et al., Phytochemistry, 66, (2005), 2368.
C00002963	Mangostin;alpha-Mangostin	Anticancer	Cytotoxic, induces apoptosis, HL-60		Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Suksamrarn, et al., Chem Pharm Bull, 54, (2006), 301.;Huang, et al., Journal of Natural Products, 64, (2001), 903.;Suksamrarn, et al., Chem Pharm Bull, 51, (2003), 857.;Deachathai, et al., Phytochemistry, 67, (2006), 464.;Mahabusarakam, et al., Phytochemistry, 67, (2006), 470.;Matsumoto, et al., Journal of Natural Products, 66, (2003), 1124.;Deachathai, et al., Phytochemistry, 66, (2005), 2368.
C00002963	Mangostin;alpha-Mangostin	Anticancer	Cytotoxic, KB hmn nasopharyngeal carcinoma cells		Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Suksamrarn, et al., Chem Pharm Bull, 54, (2006), 301.;Huang, et al., Journal of Natural Products, 64, (2001), 903.;Suksamrarn, et al., Chem Pharm Bull, 51, (2003), 857.;Deachathai, et al., Phytochemistry, 67, (2006), 464.;Mahabusarakam, et al., Phytochemistry, 67, (2006), 470.;Matsumoto, et al., Journal of Natural Products, 66, (2003), 1124.;Deachathai, et al., Phytochemistry, 66, (2005), 2368.
C00002963	Mangostin;alpha-Mangostin	Anti-inflammatory	anti-inflammatory activity		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002922	Fucofuroeckol B	Feeding deterrent	feeding deterrent	marine molluscs	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002963	Mangostin;alpha-Mangostin	Anti-inflammatory	Anti-inflammatory, no detail information		Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Suksamrarn, et al., Chem Pharm Bull, 54, (2006), 301.;Huang, et al., Journal of Natural Products, 64, (2001), 903.;Suksamrarn, et al., Chem Pharm Bull, 51, (2003), 857.;Deachathai, et al., Phytochemistry, 67, (2006), 464.;Mahabusarakam, et al., Phytochemistry, 67, (2006), 470.;Matsumoto, et al., Journal of Natural Products, 66, (2003), 1124.;Deachathai, et al., Phytochemistry, 66, (2005), 2368.
C00002963	Mangostin;alpha-Mangostin	Antimicrobial	Antimicrobial		Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Suksamrarn, et al., Chem Pharm Bull, 54, (2006), 301.;Huang, et al., Journal of Natural Products, 64, (2001), 903.;Suksamrarn, et al., Chem Pharm Bull, 51, (2003), 857.;Deachathai, et al., Phytochemistry, 67, (2006), 464.;Mahabusarakam, et al., Phytochemistry, 67, (2006), 470.;Matsumoto, et al., Journal of Natural Products, 66, (2003), 1124.;Deachathai, et al., Phytochemistry, 66, (2005), 2368.
C00002963	Mangostin;alpha-Mangostin	Antimicrobial	antimicrobial activity		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002963	Mangostin;alpha-Mangostin	Antioxidant	Antioxidant inactive, DPPH scavenger inactive		Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Suksamrarn, et al., Chem Pharm Bull, 54, (2006), 301.;Huang, et al., Journal of Natural Products, 64, (2001), 903.;Suksamrarn, et al., Chem Pharm Bull, 51, (2003), 857.;Deachathai, et al., Phytochemistry, 67, (2006), 464.;Mahabusarakam, et al., Phytochemistry, 67, (2006), 470.;Matsumoto, et al., Journal of Natural Products, 66, (2003), 1124.;Deachathai, et al., Phytochemistry, 66, (2005), 2368.
C00002963	Mangostin;alpha-Mangostin	Antioxidant	Antioxidant, DPPH scavenger		Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Suksamrarn, et al., Chem Pharm Bull, 54, (2006), 301.;Huang, et al., Journal of Natural Products, 64, (2001), 903.;Suksamrarn, et al., Chem Pharm Bull, 51, (2003), 857.;Deachathai, et al., Phytochemistry, 67, (2006), 464.;Mahabusarakam, et al., Phytochemistry, 67, (2006), 470.;Matsumoto, et al., Journal of Natural Products, 66, (2003), 1124.;Deachathai, et al., Phytochemistry, 66, (2005), 2368.
C00002963	Mangostin;alpha-Mangostin	Antituberculotic	Antibacterial	Mycobacterium tuberculosis	Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Suksamrarn, et al., Chem Pharm Bull, 54, (2006), 301.;Huang, et al., Journal of Natural Products, 64, (2001), 903.;Suksamrarn, et al., Chem Pharm Bull, 51, (2003), 857.;Deachathai, et al., Phytochemistry, 67, (2006), 464.;Mahabusarakam, et al., Phytochemistry, 67, (2006), 470.;Matsumoto, et al., Journal of Natural Products, 66, (2003), 1124.;Deachathai, et al., Phytochemistry, 66, (2005), 2368.
C00002963	Mangostin;alpha-Mangostin	Antiulcerogenic	anti-ulcer activity in vitro		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002963	Mangostin;alpha-Mangostin	Antiulcerogenic	Antiulcerative		Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Suksamrarn, et al., Chem Pharm Bull, 54, (2006), 301.;Huang, et al., Journal of Natural Products, 64, (2001), 903.;Suksamrarn, et al., Chem Pharm Bull, 51, (2003), 857.;Deachathai, et al., Phytochemistry, 67, (2006), 464.;Mahabusarakam, et al., Phytochemistry, 67, (2006), 470.;Matsumoto, et al., Journal of Natural Products, 66, (2003), 1124.;Deachathai, et al., Phytochemistry, 66, (2005), 2368.
C00002964	1,5-Dihydroxy-3-methoxyxanthone;Mesuaxanthone A	Anticancer	Cytotoxic, HT29 hmn colorectal cancer cells		Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Chen, et al., Planta Med, 70, (2004), 1195.;Larcher, et al., Planta Med, 70, (2004), 569.
C00002964	1,5-Dihydroxy-3-methoxyxanthone;Mesuaxanthone A	Antifungal	Antifungal	Aspergillus flavus IHEM37.19	Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Chen, et al., Planta Med, 70, (2004), 1195.;Larcher, et al., Planta Med, 70, (2004), 569.
C00002964	1,5-Dihydroxy-3-methoxyxanthone;Mesuaxanthone A	Antifungal	Antifungal	Aspergillus fumigatus CBS113.26	Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Chen, et al., Planta Med, 70, (2004), 1195.;Larcher, et al., Planta Med, 70, (2004), 569.
C00002962	Aphloiol;Mangiferin;2-beta-D-Glucopyranosyl-1,3,6,7-tetrahydroxy xanthone	Anti-inflammatory	Anti-inflammatory, tampon granuloma model	mus	Ji, et al., Pharmacological Action and Application of Available Composition of Traditional Chinese Medicine, Heilongjiang Science and technology Press, Heilongjiang, (1995).;Edited by Jiangsu New Medicinal College, Chinese Medicine Dictionary, Shanghai Science and technology Press, Shanghai, (1979).;Si, et al., China Journal of Chinese Materia Medica(Zhongguo Zhongyao Zazhi), 20, (1995), 295.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;KISHI, et al., Chem Pharm Bull, 51, (2003), 1051.;Shahat, et al., Planta Med, 69, (2003), 1068.;Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Chen, Liu, et al., Determination of Effective Components in Traditional Chinese medicines, People's Medical Publishing House, Beijing, (2009).
C00002962	Aphloiol;Mangiferin;2-beta-D-Glucopyranosyl-1,3,6,7-tetrahydroxy xanthone	Antioxidant	Antioxidant, DPPH scavenger		Ji, et al., Pharmacological Action and Application of Available Composition of Traditional Chinese Medicine, Heilongjiang Science and technology Press, Heilongjiang, (1995).;Edited by Jiangsu New Medicinal College, Chinese Medicine Dictionary, Shanghai Science and technology Press, Shanghai, (1979).;Si, et al., China Journal of Chinese Materia Medica(Zhongguo Zhongyao Zazhi), 20, (1995), 295.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;KISHI, et al., Chem Pharm Bull, 51, (2003), 1051.;Shahat, et al., Planta Med, 69, (2003), 1068.;Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Chen, Liu, et al., Determination of Effective Components in Traditional Chinese medicines, People's Medical Publishing House, Beijing, (2009).
C00002961	Macluraxanthone;3-Hydroxyblancoxanthone	Insecticidal	potent antitermite activity		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002962	Aphloiol;Mangiferin;2-beta-D-Glucopyranosyl-1,3,6,7-tetrahydroxy xanthone	Antituberculotic	Antibacterial	Mycobacterium tuberculosis	Ji, et al., Pharmacological Action and Application of Available Composition of Traditional Chinese Medicine, Heilongjiang Science and technology Press, Heilongjiang, (1995).;Edited by Jiangsu New Medicinal College, Chinese Medicine Dictionary, Shanghai Science and technology Press, Shanghai, (1979).;Si, et al., China Journal of Chinese Materia Medica(Zhongguo Zhongyao Zazhi), 20, (1995), 295.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;KISHI, et al., Chem Pharm Bull, 51, (2003), 1051.;Shahat, et al., Planta Med, 69, (2003), 1068.;Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Chen, Liu, et al., Determination of Effective Components in Traditional Chinese medicines, People's Medical Publishing House, Beijing, (2009).
C00002962	Aphloiol;Mangiferin;2-beta-D-Glucopyranosyl-1,3,6,7-tetrahydroxy xanthone	Antiviral	antiviral activity		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002962	Aphloiol;Mangiferin;2-beta-D-Glucopyranosyl-1,3,6,7-tetrahydroxy xanthone	Choleretic	Choleretic		Ji, et al., Pharmacological Action and Application of Available Composition of Traditional Chinese Medicine, Heilongjiang Science and technology Press, Heilongjiang, (1995).;Edited by Jiangsu New Medicinal College, Chinese Medicine Dictionary, Shanghai Science and technology Press, Shanghai, (1979).;Si, et al., China Journal of Chinese Materia Medica(Zhongguo Zhongyao Zazhi), 20, (1995), 295.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;KISHI, et al., Chem Pharm Bull, 51, (2003), 1051.;Shahat, et al., Planta Med, 69, (2003), 1068.;Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Chen, Liu, et al., Determination of Effective Components in Traditional Chinese medicines, People's Medical Publishing House, Beijing, (2009).
C00002962	Aphloiol;Mangiferin;2-beta-D-Glucopyranosyl-1,3,6,7-tetrahydroxy xanthone	CNS stimulant	stimulate the central nervous system		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002962	Aphloiol;Mangiferin;2-beta-D-Glucopyranosyl-1,3,6,7-tetrahydroxy xanthone	Sedative	CNS depressant		Ji, et al., Pharmacological Action and Application of Available Composition of Traditional Chinese Medicine, Heilongjiang Science and technology Press, Heilongjiang, (1995).;Edited by Jiangsu New Medicinal College, Chinese Medicine Dictionary, Shanghai Science and technology Press, Shanghai, (1979).;Si, et al., China Journal of Chinese Materia Medica(Zhongguo Zhongyao Zazhi), 20, (1995), 295.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;KISHI, et al., Chem Pharm Bull, 51, (2003), 1051.;Shahat, et al., Planta Med, 69, (2003), 1068.;Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Chen, Liu, et al., Determination of Effective Components in Traditional Chinese medicines, People's Medical Publishing House, Beijing, (2009).
C00002963	Mangostin;alpha-Mangostin	Antibacterial	Antibacterial	Staphylococcus aureus ATCC25953 strain	Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Suksamrarn, et al., Chem Pharm Bull, 54, (2006), 301.;Huang, et al., Journal of Natural Products, 64, (2001), 903.;Suksamrarn, et al., Chem Pharm Bull, 51, (2003), 857.;Deachathai, et al., Phytochemistry, 67, (2006), 464.;Mahabusarakam, et al., Phytochemistry, 67, (2006), 470.;Matsumoto, et al., Journal of Natural Products, 66, (2003), 1124.;Deachathai, et al., Phytochemistry, 66, (2005), 2368.
C00002963	Mangostin;alpha-Mangostin	Antibacterial	Antibacterial	Staphylococcus aureus methicillin-resistant SK1 strain	Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Suksamrarn, et al., Chem Pharm Bull, 54, (2006), 301.;Huang, et al., Journal of Natural Products, 64, (2001), 903.;Suksamrarn, et al., Chem Pharm Bull, 51, (2003), 857.;Deachathai, et al., Phytochemistry, 67, (2006), 464.;Mahabusarakam, et al., Phytochemistry, 67, (2006), 470.;Matsumoto, et al., Journal of Natural Products, 66, (2003), 1124.;Deachathai, et al., Phytochemistry, 66, (2005), 2368.
C00002958	1-Isomangostin	Antibacterial	antibacterial activity		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002958	1-Isomangostin	Antibacterial	Antibacterial, no explanation of bacterial species		Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Huang, et al., Journal of Natural Products, 64, (2001), 903.
C00002958	1-Isomangostin	Antifungal	antifungal activity		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002958	1-Isomangostin	Antifungal	Antifungal, no description on fungi species		Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Huang, et al., Journal of Natural Products, 64, (2001), 903.
C00002959	Jacareubin	Anti-inflammatory	anti-inflammatory activity		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002959	Jacareubin	Anti-inflammatory	Anti-inflammatory, no detail information		Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Karikome, Wen-ben Yang translated, Phytochemistry, Science Press, Beijing, (1985).
C00002959	Jacareubin	Antimicrobial	Antimicrobial		Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Karikome, Wen-ben Yang translated, Phytochemistry, Science Press, Beijing, (1985).
C00002959	Jacareubin	Antimicrobial	antimicrobial activity		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002959	Jacareubin	Antiulcerogenic	Antiulcerative		Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Karikome, Wen-ben Yang translated, Phytochemistry, Science Press, Beijing, (1985).
C00002959	Jacareubin	Antiulcerogenic	anti-ulcerogenic activity		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002780	Subaphyllin	Antiviral	antiviral effect		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42
C00002961	Macluraxanthone;3-Hydroxyblancoxanthone	Toxic	more toxic than rotenone	Anopheles hyrcanus sinensis Wiedemann	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002943	Bellidifolin;1,5,8-Trihydroxy-3-methoxyxanthone	Antituberculotic	tuberculostatic agent		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002943	Bellidifolin;1,5,8-Trihydroxy-3-methoxyxanthone	Mutagenic	strong mutagenic activity	Salmonella typhimurium	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002944	Calophyllin B	Anti-inflammatory	anti-inflammatory activity		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002945	Dehydrocycloguanandin	Anti-inflammatory	anti-inflammatory activity	Mammalia	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002946	Demethylbellidifolin;1,3,5,8-Tetrahdroxyyxanthone	Antiparkinson	moderate inhibitor of monoamine oxidase/A		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002897	Pinosylvin;3,5-Dihydroxystilbene;Pinosylvine	Antifungal	toxic	Fungi	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter44
C00002962	Aphloiol;Mangiferin;2-beta-D-Glucopyranosyl-1,3,6,7-tetrahydroxy xanthone	Antiedemic	Anti-inflammatory, paw edema model, induced by carrageenan	mus	Ji, et al., Pharmacological Action and Application of Available Composition of Traditional Chinese Medicine, Heilongjiang Science and technology Press, Heilongjiang, (1995).;Edited by Jiangsu New Medicinal College, Chinese Medicine Dictionary, Shanghai Science and technology Press, Shanghai, (1979).;Si, et al., China Journal of Chinese Materia Medica(Zhongguo Zhongyao Zazhi), 20, (1995), 295.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;KISHI, et al., Chem Pharm Bull, 51, (2003), 1051.;Shahat, et al., Planta Med, 69, (2003), 1068.;Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Chen, Liu, et al., Determination of Effective Components in Traditional Chinese medicines, People's Medical Publishing House, Beijing, (2009).
C00002962	Aphloiol;Mangiferin;2-beta-D-Glucopyranosyl-1,3,6,7-tetrahydroxy xanthone	Antihepatotoxic	antihepatotoxic activity		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002962	Aphloiol;Mangiferin;2-beta-D-Glucopyranosyl-1,3,6,7-tetrahydroxy xanthone	Antihepatotoxic	Antihepatotoxin		Ji, et al., Pharmacological Action and Application of Available Composition of Traditional Chinese Medicine, Heilongjiang Science and technology Press, Heilongjiang, (1995).;Edited by Jiangsu New Medicinal College, Chinese Medicine Dictionary, Shanghai Science and technology Press, Shanghai, (1979).;Si, et al., China Journal of Chinese Materia Medica(Zhongguo Zhongyao Zazhi), 20, (1995), 295.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;KISHI, et al., Chem Pharm Bull, 51, (2003), 1051.;Shahat, et al., Planta Med, 69, (2003), 1068.;Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Chen, Liu, et al., Determination of Effective Components in Traditional Chinese medicines, People's Medical Publishing House, Beijing, (2009).
C00002962	Aphloiol;Mangiferin;2-beta-D-Glucopyranosyl-1,3,6,7-tetrahydroxy xanthone	Anti-HSV	Antiviral	HSV virus	Ji, et al., Pharmacological Action and Application of Available Composition of Traditional Chinese Medicine, Heilongjiang Science and technology Press, Heilongjiang, (1995).;Edited by Jiangsu New Medicinal College, Chinese Medicine Dictionary, Shanghai Science and technology Press, Shanghai, (1979).;Si, et al., China Journal of Chinese Materia Medica(Zhongguo Zhongyao Zazhi), 20, (1995), 295.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;KISHI, et al., Chem Pharm Bull, 51, (2003), 1051.;Shahat, et al., Planta Med, 69, (2003), 1068.;Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Chen, Liu, et al., Determination of Effective Components in Traditional Chinese medicines, People's Medical Publishing House, Beijing, (2009).
C00002962	Aphloiol;Mangiferin;2-beta-D-Glucopyranosyl-1,3,6,7-tetrahydroxy xanthone	Anti-inflammatory	anti-inflammatory activity		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002933	1,2,3,4,6-Penta-O-galloyl-beta-D-glucose;(+)-1,2,3,4,6-Penta-O-galloyl-beta-D-glucose;Pentagalloyl-beta-D-glucose	Antioxidant	inhibit induced peroxidation in liver mitochondria and microsomes	Rattus norvegicus	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002934	Proanthocyanidin A-2;(+)-Proanthocyanidin A-2;Proanthocyanidin A2		tans proteins		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002935	Procyanidin B4;Catechin-(4alpha->8)-epicatechin	Dental	usea as a gargle	Homo sapiens	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002936	Robinetinidol-(4alpha->8)-catechin-(6->4alpoha)-robinetinidol 		tans proteins		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002937	Rugosin D	Antitumor	antitumour activity against Sarcoma 180	Mus musculus	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002938	Tellimagrandin I	Antihepatotoxic	in vitro antihepatotoxic activity due to enzyme inhibitory action on glutamine-pyruvic transaminase		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002938	Tellimagrandin I	Other health agent	inhibit adrenaline-induced lipolysis in fat cells	Rattus norvegicus	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002939	Terminalin	Toxic	cause lesions in liver and kidney, leading to death	Bos taurus	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002939	Terminalin	Toxic	cause lesions in liver and kidney, leading to death	Ovis aries	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002939	Terminalin	Toxic	highly toxic at concentrations of 20 mg/kg body-weight	Mus musculus	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002940	1,2,3,4-Tetragalloyl-alpha-D-glucose	Antibacterial	antibacterial activity	Proteus vulgare	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002940	1,2,3,4-Tetragalloyl-alpha-D-glucose	Antibacterial	antibacterial activity	Staphylococcus aureus	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45
C00002941	Lusianthridin;4,7-Dihydroxy-2-methoxy-9,10-dihydrophenanthrene	Antiallergic	Antiallergic beta-Hexosaminidase inhibitor		Matsuda, et al., Planta Med, 70, (2004), 847.
C00002941	Lusianthridin;4,7-Dihydroxy-2-methoxy-9,10-dihydrophenanthrene	Antibacterial	antibacterial activity		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter44
C00002942	Athyriol	Antigout	inhibitor of xanthine oxidase		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002943	Bellidifolin;1,5,8-Trihydroxy-3-methoxyxanthone	Antihepatotoxic	antihepatotoxic		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002943	Bellidifolin;1,5,8-Trihydroxy-3-methoxyxanthone	Antiparkinson	inhibitor of the enzyme monoamine oxidase/A		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002946	Demethylbellidifolin;1,3,5,8-Tetrahdroxyyxanthone	Mutagenic	weak mutagenic activity	Salmonella typhimurium	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002947	6-Deoxyjacareubin	Anti-inflammatory	anti-inflammatory activity		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002947	6-Deoxyjacareubin	Antimicrobial	antimicrobial activity		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002947	6-Deoxyjacareubin	Antiulcerogenic	anti-ulcerogenic activity		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002948	1,6-Dihydroxy-3,5-dimethoxyxanthone;3,5-Dimethoxy-1,6-dihydroxyxanthone	Antituberculotic	tuberculostatic activity in vitro		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002949	1,7-Dihydroxyxanthone;Euxanthone	Anti-inflammatory	anti-inflammatory activity		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002950	Gambogic acid		no activity		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002951	Gartanin	Antibacterial	antibacterial activity		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002951	Gartanin	Antifungal	antifungal activity		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002952	Gentiacaulein;1,7-Dihydroxy-3,8-dimethoxyxantone	Antiparkinson	inhibit monoamine oxidase/A in vitro		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002953	Gentisein	Antituberculotic	Antibacterial	Mycobacterium tuberculosis	Yang, et al., Phytochemistry, 58, (2001), 1245.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).
C00002953	Gentisein	Antituberculotic	tuberculostatic activity		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
C00002954	Gentisin;1,7-Dihydroxy-3-methoxyanthone	Mutagenic	moderate mutagenic activity	Salmonella typhimurium	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46
